code,year,season_year,month,season_month,region,period,thickness
201011,2010,2010,November,1,Arctic,2010/11,1.3461045
201012,2010,2010,December,2,Arctic,2010/12,1.4063075
201101,2011,2010,January,3,Arctic,2011/01,1.6025963
201102,2011,2010,February,4,Arctic,2011/02,1.7926761
201103,2011,2010,March,5,Arctic,2011/03,1.9697666
201104,2011,2010,April,6,Arctic,2011/04,2.0430772
201110,2011,2011,October,0,Arctic,2011/10,1.0655588
201111,2011,2011,November,1,Arctic,2011/11,1.2020233
201112,2011,2011,December,2,Arctic,2011/12,1.3243896
201201,2012,2011,January,3,Arctic,2012/01,1.5255489
201202,2012,2011,February,4,Arctic,2012/02,1.7046297
201203,2012,2011,March,5,Arctic,2012/03,1.8679627
201204,2012,2011,April,6,Arctic,2012/04,1.9595809
201210,2012,2012,October,0,Arctic,2012/10,1.1599066
201211,2012,2012,November,1,Arctic,2012/11,1.2923855
201212,2012,2012,December,2,Arctic,2012/12,1.3694656
201301,2013,2012,January,3,Arctic,2013/01,1.4948634
201302,2013,2012,February,4,Arctic,2013/02,1.586234
201303,2013,2012,March,5,Arctic,2013/03,1.8260732
201304,2013,2012,April,6,Arctic,2013/04,1.8982285
201310,2013,2013,October,0,Arctic,2013/10,1.4288982
201311,2013,2013,November,1,Arctic,2013/11,1.528079
201312,2013,2013,December,2,Arctic,2013/12,1.6165849
201401,2014,2013,January,3,Arctic,2014/01,1.7835858
201402,2014,2013,February,4,Arctic,2014/02,1.9448854
201403,2014,2013,March,5,Arctic,2014/03,2.0955894
201404,2014,2013,April,6,Arctic,2014/04,2.1214626
201410,2014,2014,October,0,Arctic,2014/10,1.3494166
201411,2014,2014,November,1,Arctic,2014/11,1.506556
201412,2014,2014,December,2,Arctic,2014/12,1.5831304
201501,2015,2014,January,3,Arctic,2015/01,1.7225585
201502,2015,2014,February,4,Arctic,2015/02,1.8906057
201503,2015,2014,March,5,Arctic,2015/03,2.061633
201504,2015,2014,April,6,Arctic,2015/04,2.1493635
201510,2015,2015,October,0,Arctic,2015/10,1.2392282
201511,2015,2015,November,1,Arctic,2015/11,1.3999645
201512,2015,2015,December,2,Arctic,2015/12,1.459234
201601,2016,2015,January,3,Arctic,2016/01,1.601532
201602,2016,2015,February,4,Arctic,2016/02,1.7647698
201603,2016,2015,March,5,Arctic,2016/03,1.8986973
201604,2016,2015,April,6,Arctic,2016/04,1.9799131
201610,2016,2016,October,0,Arctic,2016/10,1.4097545
201611,2016,2016,November,1,Arctic,2016/11,1.4287428
201612,2016,2016,December,2,Arctic,2016/12,1.5316253
201701,2017,2016,January,3,Arctic,2017/01,1.6541702
201702,2017,2016,February,4,Arctic,2017/02,1.7738554
201703,2017,2016,March,5,Arctic,2017/03,1.9240766
201704,2017,2016,April,6,Arctic,2017/04,1.9390985
201710,2017,2017,October,0,Arctic,2017/10,1.3848807
201711,2017,2017,November,1,Arctic,2017/11,1.4612316
201712,2017,2017,December,2,Arctic,2017/12,1.4914957
201801,2018,2017,January,3,Arctic,2018/01,1.622464
201802,2018,2017,February,4,Arctic,2018/02,1.8041928
201803,2018,2017,March,5,Arctic,2018/03,1.8996605
201804,2018,2017,April,6,Arctic,2018/04,1.9692296
201810,2018,2018,October,0,Arctic,2018/10,1.5329165
201811,2018,2018,November,1,Arctic,2018/11,1.5172663
201812,2018,2018,December,2,Arctic,2018/12,1.5380106
201901,2019,2018,January,3,Arctic,2019/01,1.6039225
201902,2019,2018,February,4,Arctic,2019/02,1.812513
201903,2019,2018,March,5,Arctic,2019/03,2.006612
201904,2019,2018,April,6,Arctic,2019/04,2.1057177
201910,2019,2019,October,0,Arctic,2019/10,1.3446252
201911,2019,2019,November,1,Arctic,2019/11,1.3670498
201912,2019,2019,December,2,Arctic,2019/12,1.3771708
202001,2020,2019,January,3,Arctic,2020/01,1.4873468
202002,2020,2019,February,4,Arctic,2020/02,1.6687177
202003,2020,2019,March,5,Arctic,2020/03,1.8808163
202004,2020,2019,April,6,Arctic,2020/04,2.0440798
202010,2020,2020,October,0,Arctic,2020/10,1.184391
202011,2020,2020,November,1,Arctic,2020/11,1.2698666
202012,2020,2020,December,2,Arctic,2020/12,1.3650644
202101,2021,2020,January,3,Arctic,2021/01,1.5148015
202102,2021,2020,February,4,Arctic,2021/02,1.616634
202103,2021,2020,March,5,Arctic,2021/03,1.7990537
202104,2021,2020,April,6,Arctic,2021/04,1.8974277
202110,2021,2021,October,0,Arctic,2021/10,1.198839
202111,2021,2021,November,1,Arctic,2021/11,1.3438742
202112,2021,2021,December,2,Arctic,2021/12,1.4518967
202201,2022,2021,January,3,Arctic,2022/01,1.6109046
202202,2022,2021,February,4,Arctic,2022/02,1.772661
202203,2022,2021,March,5,Arctic,2022/03,2.0044763
202204,2022,2021,April,6,Arctic,2022/04,2.0308788
202210,2022,2022,October,0,Arctic,2022/10,1.1627699
202211,2022,2022,November,1,Arctic,2022/11,1.3136244
202212,2022,2022,December,2,Arctic,2022/12,1.4759964
202301,2023,2022,January,3,Arctic,2023/01,1.5925632
202302,2023,2022,February,4,Arctic,2023/02,1.726844
202303,2023,2022,March,5,Arctic,2023/03,1.896392
202304,2023,2022,April,6,Arctic,2023/04,1.9329616
202310,2023,2023,October,0,Arctic,2023/10,1.1624994
202311,2023,2023,November,1,Arctic,2023/11,1.3054351
202312,2023,2023,December,2,Arctic,2023/12,1.4183728
202401,2024,2023,January,3,Arctic,2024/01,1.5458659
202402,2024,2023,February,4,Arctic,2024/02,1.7158655
202403,2024,2023,March,5,Arctic,2024/03,1.8519711
202404,2024,2023,April,6,Arctic,2024/04,1.9305222
